name,filter_object,graphql_object
Skin Metastasis Absent,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Skin""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Metastatic""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""tumor_classification"": [""Metastatic""]}}, {""IN"": {""tumor_state"": [""Absent""]}}, {""IN"": {""tumor_site"": [""Skin""]}}], ""path"": ""tumor_assessments""}}]}"
NODAL bulky no agg,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""NODAL""]}, ""disease_characteristics.bulky_nodal_aggregate"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""No""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""NODAL""]}}, {""nested"": {""AND"": [{""IN"": {""bulky_nodal_aggregate"": [""No""]}}], ""path"": ""disease_characteristics""}}]}"
Male99,"{""sex"": {""selectedValues"": [""Male""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}}",{}
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}}",{}
Female metastatic,"{""sex"": {""selectedValues"": [""Female""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{}
Male metastatic,"{""sex"": {""selectedValues"": [""Male""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{}
s,"{""sex"": {""selectedValues"": [""Male""]}}",{}
alivetest,"{""race"": {""selectedValues"": [""Asian""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""survival_characteristics.lkss"": {""selectedValues"": [""Alive""]}}",{}
mets,"{""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{}
ERMS,"{""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{}
Instruct multiple filters,"{""sex"": {""selectedValues"": [""Female"", ""Male""]}, ""molecular_analysis.anaplasia"": {""selectedValues"": [""Absent""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{}
All - wide open,{},{}
"ARMS, Alive, FOXO1/PAX7","{""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""molecular_analysis.gene1"": {""selectedValues"": [""FOXO1""]}, ""molecular_analysis.gene2"": {""selectedValues"": [""PAX7""]}, ""survival_characteristics.lkss"": {""selectedValues"": [""Alive""]}}",{}
Ex01,"{""sex"": {""selectedValues"": [""Female""]}, ""histologies.histology"": {""selectedValues"": [""Botryoid rhabdomyosarcoma (BRMS)""]}, ""molecular_analysis.molecular_abnormality"": {""selectedValues"": [""FOXO1-PAX7 fusion""]}}",{}
AA / Asian Males,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Black or African American"", ""Asian""]}}",{}
Alive M1 at Dx with event,"{""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""__combineMode"": ""AND"", ""censor_status"": {""selectedValues"": [""Subject has had one or more events""]}, ""survival_characteristics.lkss"": {""selectedValues"": [""Alive""]}, ""disease_phase:Initial Diagnosis"": {""filter"": {""stagings.tnm_finding"": {""selectedValues"": [""Metastases, M1""]}}}}",{}
All black female,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Black or African American""]}, ""__combineMode"": ""AND""}",{}
Age less than on eyear,"{""disease_phase:Initial Diagnosis"": {""filter"": {""tumor_assessments.age_at_tumor_assessment"": {""lowerBound"": 0, ""upperBound"": 364}}}}",{}
Age less than one year,"{""disease_phase:Initial Diagnosis"": {""filter"": {""tumor_assessments.age_at_tumor_assessment"": {""lowerBound"": 0, ""upperBound"": 364}}}}",{}
Less than one year ,"{""disease_phase:Initial Diagnosis"": {""filter"": {""tumor_assessments.age_at_tumor_assessment"": {""lowerBound"": 0, ""upperBound"": 364}}}}",{}
Test 1,"{""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{}
Female99,"{""sex"": {""selectedValues"": [""Female""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}}",{}
Female,"{""sex"": {""selectedValues"": [""Female""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}}",{}
"Instruct M, F all","{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Female"", ""Male""]}, ""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INSTRuCT""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""sex"": [""Female"", ""Male""]}}, {""IN"": {""consortium"": [""INSTRuCT""]}}]}"
"Female,Asian","{""value"": {""sex"": {""__type"": ""OPTION"", ""selectedValues"": [""Female""]}, ""race"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Asian""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""race"": [""Asian""]}}, {""IN"": {""sex"": [""Female""]}}]}"
male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
male asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
male asian and black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
ARMS,"{""__combineMode"": ""AND"", ""histologies.histology"": {""selectedValues"": [""Alveolar rhabdomyosarcoma (ARMS)""]}}",{}
FemaleAsian,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
MaleAsian,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
male asian 2,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
male and asian,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
AgeAtCStatusMaleOnly,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND"", ""age_at_censor_status"": {""lowerBound"": 6479, ""upperBound"": 10268}}",{}
male and (asian or black),"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
male,"{""sex"": {""selectedValues"": [""Male""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
Male Asian,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
All female,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""AND""}",{}
All Asian female,"{""sex"": {""selectedValues"": [""Female""]}, ""__combineMode"": ""AND""}",{}
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
All Asian female 2,"{""sex"": {""selectedValues"": [""Female""]}, ""race"": {""selectedValues"": [""Asian""]}, ""__combineMode"": ""AND""}",{}
Male Asian Black,"{""sex"": {""selectedValues"": [""Male""]}, ""__combineMode"": ""AND""}",{}
