name,filter_object,graphql_object,llm_result
Skin Metastasis Absent,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""INRG""]}, ""tumor_assessments.tumor_site"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Skin""]}, ""tumor_assessments.tumor_state"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Absent""]}, ""tumor_assessments.tumor_classification"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""Metastatic""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""INRG""]}}, {""nested"": {""AND"": [{""IN"": {""tumor_classification"": [""Metastatic""]}}, {""IN"": {""tumor_state"": [""Absent""]}}, {""IN"": {""tumor_site"": [""Skin""]}}], ""path"": ""tumor_assessments""}}]}","The cohort consists of participants from the INRG consortium who have metastatic tumors. Specifically, these tumors are classified as absent and are located on the skin."
NODAL bulky no agg,"{""value"": {""consortium"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""NODAL""]}, ""disease_characteristics.bulky_nodal_aggregate"": {""__type"": ""OPTION"", ""isExclusion"": false, ""selectedValues"": [""No""]}}, ""__type"": ""STANDARD"", ""__combineMode"": ""AND""}","{""AND"": [{""IN"": {""consortium"": [""NODAL""]}}, {""nested"": {""AND"": [{""IN"": {""bulky_nodal_aggregate"": [""No""]}}], ""path"": ""disease_characteristics""}}]}",The cohort consists of participants who are part of the NODAL consortium and do not have bulky nodal aggregates as a disease characteristic.
Male99,"{""sex"": {""selectedValues"": [""Male""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}}",{},The cohort consists of male participants who are part of the INSTRuCT consortium.
Male,"{""sex"": {""selectedValues"": [""Male""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}}",{},The cohort consists of male participants who are part of the INSTRuCT consortium.
Female metastatic,"{""sex"": {""selectedValues"": [""Female""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{},The cohort consists of female individuals with metastatic tumor classification.
Male metastatic,"{""sex"": {""selectedValues"": [""Male""]}, ""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{},The cohort consists of male individuals with metastatic tumor classifications.
s,"{""sex"": {""selectedValues"": [""Male""]}}",{},The cohort consists of individuals who are male.
alivetest,"{""race"": {""selectedValues"": [""Asian""]}, ""consortium"": {""selectedValues"": [""INSTRuCT""]}, ""survival_characteristics.lkss"": {""selectedValues"": [""Alive""]}}",{},"The cohort consists of individuals who are of Asian race, are part of the INSTRuCT consortium, and are currently alive."
mets,"{""tumor_assessments.tumor_classification"": {""selectedValues"": [""Metastatic""]}}",{},"The cohort consists of individuals whose tumor assessments have been classified as ""Metastatic."""
ERMS,"{""histologies.histology"": {""selectedValues"": [""Embryonal rhabdomyosarcoma (ERMS)""]}}",{},The cohort consists of individuals diagnosed with embryonal rhabdomyosarcoma (ERMS).
